[inf] initializing hardware..
[dbg] Devices created
[inf] done
[dbg] connecting to the server 192.168.7.2:11006..
[dbg] connected
[inf] ,4.42954,0.00860042,-1.55948,0,
[inf] ,4.43085,0.00868619,-1.55948,0,
[inf] ,4.43188,0.00875163,-1.55948,0,
[inf] ,4.43279,0.00880837,-1.55948,0,
[inf] ,4.43401,0.00888211,-1.55948,0,
[inf] ,4.43519,0.00895189,-1.55948,0,
[inf] ,4.43681,0.00904364,-1.55948,0,
[inf] ,4.4376,0.00908716,-1.55948,0,
[inf] ,4.43878,0.00914986,-1.55948,0,
[inf] ,4.4399,0.00920768,-1.55948,0,
[inf] ,4.44105,0.00926517,-1.55929,0.0135302,
[inf] ,4.44217,0.00931883,-1.55929,0.0194591,
[inf] ,4.4433,0.00937088,-1.5591,0.0360437,
[inf] ,4.44455,0.00942659,-1.5591,0.0399856,
[inf] ,4.44572,0.00947609,-1.5591,0.0387817,
[inf] ,4.44682,0.00952096,-1.55891,0.0492353,
[inf] ,4.44802,0.00956762,-1.55891,0.0498547,
[inf] ,4.44913,0.00960827,-1.55872,0.0598761,
[inf] ,4.45027,0.00964849,-1.55852,0.0734923,
[inf] ,4.45137,0.00968512,-1.55852,0.0749847,
[inf] ,4.45256,0.00972226,-1.55833,0.0828144,
[inf] ,4.45369,0.00975562,-1.55814,0.0945442,
[inf] ,4.45485,0.0097878,-1.55795,0.105735,
[inf] ,4.45601,0.00981749,-1.55795,0.102711,
[inf] ,4.45729,0.00984784,-1.55776,0.105792,
[inf] ,4.4585,0.00987384,-1.55757,0.111785,
[inf] ,4.45969,0.00989724,-1.55737,0.119723,
[inf] ,4.46087,0.00991806,-1.55718,0.126505,
[inf] ,4.4621,0.0099371,-1.5568,0.147115,
[inf] ,4.46315,0.00995148,-1.55661,0.160976,
[inf] ,4.46441,0.00996631,-1.55642,0.165086,
[inf] ,4.46537,0.00997579,-1.55622,0.170158,
[inf] ,4.46652,0.00998503,-1.55603,0.172698,
[inf] ,4.46781,0.00999281,-1.55565,0.18479,
[inf] ,4.46891,0.00999721,-1.55546,0.190652,
[inf] ,4.47003,0.00999959,-1.55526,0.191828,
[inf] ,4.47118,0.00999983,-1.55488,0.20648,
[inf] ,4.47256,0.00999717,-1.5545,0.218946,
[inf] ,4.47368,0.00999264,-1.55431,0.221719,
[inf] ,4.47478,0.0099861,-1.55411,0.219197,
[inf] ,4.47588,0.00997754,-1.55373,0.22838,
[inf] ,4.47712,0.00996553,-1.55316,0.267858,
[inf] ,4.47899,0.0099424,-1.55296,0.257469,
[inf] ,4.4798,0.00993052,-1.55258,0.260037,
[inf] ,4.48093,0.00991223,-1.5522,0.267388,
